,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD
2022-12-30,0.0,0.0,0.0,0.0,3.871887090942108e-17,0.19999999999999996,0.19999999999999996,9.366336060879193e-18,0.0,1.0482248976281773e-16,0.19999999999999996,0.19999999999999987,0.19999999999999996,0.0,1.6653345369377346e-16,0.0,5.195674291557468e-17,0.0
2023-01-31,3.776626478089624e-17,2.600492194848182e-17,3.626543917056016e-18,0.0,0.0,0.19999999999999996,0.19999999999999993,1.2122186230201678e-17,4.973720902913452e-17,0.0,0.19999999999999996,0.19999999999999993,0.19999999999999993,3.2503995004325454e-17,6.938893903907227e-17,0.0,0.0,0.0
2023-02-28,0.0,1.4321449244800238e-17,0.0,0.0,0.2,0.2,0.19999999999999998,0.004753321208583843,0.0,0.0,0.2,0.1542668476656121,0.04097983112580414,1.518413201312298e-17,0.0,0.0,0.0,0.0
2023-03-31,5.47825404213624e-17,0.0,0.0,2.815458765781987e-17,0.07232208694036331,0.0,0.19999999999999996,0.09372596207545063,0.0,1.7012450202832786e-17,0.19999999999999996,0.0,0.19999999999999996,0.0,0.19999999999999984,0.0339519509841862,1.1918259639063745e-18,0.0
2023-04-28,0.0,3.0346755544109434e-17,2.8045026969876254e-17,1.4312196034745797e-17,0.19999999999999993,5.727635873403457e-17,0.19999999999999982,0.1999999999999999,0.0,6.1240265617912955e-19,0.11966576788066052,0.0,0.1553639743001244,7.30955199691213e-18,0.12497025781921518,0.0,5.834747151947416e-17,1.9276262633173945e-17
2023-05-31,0.1481324323044373,2.7766433262368134e-17,1.1800720293851329e-16,4.0703588040296826e-17,0.0,3.000602808929662e-17,0.1999999999999998,0.19999999999999982,1.8349852281275475e-16,5.153756589411281e-17,6.67607486951665e-17,0.0,0.19999999999999976,2.4581589380691968e-17,0.14307297024757376,2.940628904825246e-17,8.997665122998598e-17,0.10879459744798878
2023-06-30,0.13432226803165367,5.4896162660465115e-17,4.256528516319952e-17,0.0,0.15645612095092534,1.1884145345744941e-17,0.2,0.19999999999999998,0.0,0.0,2.496406930498101e-17,1.8259712953151412e-17,1.446652114813061e-16,0.0,3.524330319452046e-18,3.3550193925706404e-17,0.10922161101742073,0.2
2023-07-31,0.12583769486320115,4.99158473675423e-18,3.788577999711858e-17,0.0,0.1999999999999999,2.0442711788976673e-16,0.0074495801212809305,0.2,0.0,0.0,0.0918241721072887,3.924071293193093e-17,0.17488855290822908,0.0,1.510573225035506e-17,5.612321235614468e-17,0.1999999999999998,3.9050662537035336e-17
2023-08-31,0.0,0.0,0.0,0.0,0.19999999999999993,0.0,0.1879879350742044,0.19999999999999993,0.19455450389087492,0.0,0.0,0.0,0.017457561034920906,0.0,4.7060371063297395e-17,0.0,0.19999999999999993,0.0
2023-09-29,0.0,8.041274148878463e-17,0.0,0.03432713843875214,0.19999999999999998,4.0905249164562566e-17,0.19999999999999998,0.2,0.1656728615612476,1.4519195712599567e-17,5.495162514181482e-17,0.0,9.615343322561977e-18,5.0880349401730674e-17,4.4963122116406635e-17,0.0,0.2,1.0202820752645524e-16
2023-10-31,6.321287511734074e-17,0.19999999999999998,0.04909313284497347,0.15090686715502613,7.268556574323859e-17,2.704733197408785e-17,1.8032412269592435e-17,0.2,2.3412993330852645e-16,2.1761061541863455e-17,1.080188142906784e-16,0.0,0.19999999999999968,6.864507558499191e-17,5.76552040455168e-17,1.487658141674478e-17,0.20000000000000004,1.1992515508948204e-16
2023-11-30,0.0,0.19999999999999996,0.19999999999999996,2.6475893908815197e-17,0.0,0.0,3.942274330503783e-17,0.19999999999999996,2.0816681711721682e-17,0.0,2.138233587175474e-17,3.784648354747808e-18,0.0,0.0,2.646768065877244e-18,3.6067254536118857e-17,0.19999999999999993,0.19999999999999996
2023-12-29,4.118677353921377e-16,0.12041168171407073,0.1999999999999999,0.07958831828592886,5.969374817670102e-17,0.0,0.0,0.19999999999999996,1.6607023550342045e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996
2024-01-31,1.1965526639641813e-16,0.19999999999999987,0.17304856859496823,0.0,1.4963046852271245e-16,0.0,0.0,0.2,0.19999999999999993,1.761832665775598e-18,0.0,5.494194922618959e-17,1.1973658155935454e-16,1.5504095202029365e-17,0.0,0.0,0.19999999999999987,0.026951431405031756
2024-02-29,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,2.4026773252766627e-18,0.0,0.19999999999999996,9.194034422677075e-17,3.814822717646759e-17,2.4563144238424295e-17,8.066331869879651e-17,0.0,8.885023955556021e-18,0.0,5.012741875196049e-17,0.19999999999999996,0.19999999999999993
2024-03-28,6.314171180084551e-17,0.0,0.19999999999999993,1.25049224549241e-16,0.19999999999999993,3.710580890951328e-17,5.3791866408818677e-17,0.19999999999999993,3.940553783365727e-17,0.0,0.0,3.668226892264618e-17,0.0,0.0,0.0,0.0,0.1999999999999999,0.19999999999999993
2024-04-30,0.0,0.0,0.19999999999999996,0.10915360874283907,0.1999999999999998,1.8356110023567674e-17,1.9064709375059758e-17,0.19999999999999996,0.0,0.0,1.2566886919853501e-18,2.9458055474142124e-17,0.0,0.0,1.6989730490558826e-17,0.0,0.1999999999999999,0.09084639125716124
